,"Math","English","Spanish Translation",
37,"=image(""https://equatio-api.texthelp.com/svg/x_n"")","x Subscript n","x subíndice n",
38,"=image(""https://equatio-api.texthelp.com/svg/x%5Ea"")","x Superscript a","x superíndice a",
39,"=image(""https://equatio-api.texthelp.com/svg/x%5E%7Bm%2Bn%7D"")","x Superscript m plus n","x superíndice m más n",
40,"=image(""https://equatio-api.texthelp.com/svg/T_%7Bn-1%7D%2B5%3D0"")","upper T Subscript n minus 1 Baseline plus 5 equals 0","mayúscula T subíndice n menos 1 línea base más 5 igual 0",
41,"=image(""https://equatio-api.texthelp.com/svg/x%20%5E%7B%20m%20%2B%20n%20%7D%20%3D%20x%20%5E%7B%20m%20%7D%20x%20%5E%7B%20n%7D"")","x Superscript m plus n Baseline equals x Superscript m Baseline x 
Superscript n","x superíndice m más n línea base igual x superíndice m línea base x superíndice n",
42,"=image(""https://equatio-api.texthelp.com/svg/x%5E%7Ba_n%2Ba_%7Bn-1%7D%7D"")","x Superscript a Super Subscript n Superscript plus a Super Subscript n 
minus 1","x superíndice a super subíndice n superíndice más a super subíndice n menos 1",
43,"=image(""https://equatio-api.texthelp.com/svg/x%5E%7Ba_b%7D"")","x Superscript a Super Subscript b","x superíndice a super subíndice b",
44,"=image(""https://equatio-api.texthelp.com/svg/x_%7Ba%5Eb%7D"")","x Subscript a Sub Superscript b","x subíndice a sub superíndice b",
45,"=image(""https://equatio-api.texthelp.com/svg/y%5E%7Ba%5E%7Bb_c%7D%7D%5Cne%20y%5E%7Ba%5Ebc%7D"")","y Superscript a Super Superscript b Super Super Subscript c Baseline 
not-equals y Superscript a Super Superscript b Superscript c","y superíndice a super superíndice b super super subíndice c línea base no es igual a y superíndice a super superíndice b superíndice c",
46,"=image(""https://equatio-api.texthelp.com/svg/y%5E%7Ba%5E%7B_cb%7D%7D"")","y Superscript a Super Super Subscript c Super Superscript b","y superíndice a super super subíndice c super superíndice b",
47,"=image(""https://equatio-api.texthelp.com/svg/y%5E%7Ba%5E%7B_c%7D%7D"")","y Superscript a Super Super Subscript c",,
48,"=image(""https://equatio-api.texthelp.com/svg/y_%7Ba_%7B%5Ec%7D%7D"")","y Subscript a Sub Sub Superscript c",,
49,"=image(""https://equatio-api.texthelp.com/svg/y_%7Ba_%7B%5Ec%7D_b%7D"")","y Subscript a Sub Sub Superscript c Sub Subscript b",,
50,"=image(""https://equatio-api.texthelp.com/svg/x%5E%7Ba%5Eb%7D"")","x Superscript a Super Superscript b",,
51,"=image(""https://equatio-api.texthelp.com/svg/x_%7Ba_b%7D"")","x Subscript a Sub Subscript b",,
52,"=image(""https://equatio-api.texthelp.com/svg/T%5E%7B%5Cleft(x%5Ea%2By%5Eb%5Cright)%7D"")","upper T Superscript left-parenthesis x Super Superscript a Superscript plus 
y Super Superscript b Superscript right-parenthesis","mayúscula T superíndice paréntesis izquierdo z super superíndice a superíndice más y super superíndice b superíndice paréntesis derecho",
53,"=image(""https://equatio-api.texthelp.com/svg/x_1"")","x Subscript 1","x subíndice 1",
54,"=image(""https://equatio-api.texthelp.com/svg/x_%7B-1%7D"")","x Subscript negative 1","x subíndice menos 1",
55,"=image(""https://equatio-api.texthelp.com/svg/x_%7B10%2C000%7D"")","x Subscript 10,000","x subíndice 10000",
56,"=image(""https://equatio-api.texthelp.com/svg/x_%7B1.3%7D"")","x Subscript 1.3","x subíndice 1,3",
57,"=image(""https://equatio-api.texthelp.com/svg/4%5Ctext%7BFe%7D%2B3O_2%5Crightarrow2%5Ctext%7BFe%7D_2O_3"")","4 upper F e plus 3 upper O 2 right-arrow 2 upper F e 2 upper O 3",,
58,"=image(""https://equatio-api.texthelp.com/svg/a_%7B2%2C3%7D"")","a Subscript 2 comma 3","a subíndice 2 coma 3",
59,"=image(""https://equatio-api.texthelp.com/svg/T_%7Bn_1%2Bn_0%7D"")","upper T Subscript n Subscript 1 plus n Subscript 0",,
60,"=image(""https://equatio-api.texthelp.com/svg/%5Clog_2%5Cleft(x%5Cright)%3D%5Cfrac%7B%5Clog_%7B10%7D%5Cleft(x%5Cright)%7D%7B%5Clog_%7B10%7D%5Cleft(2%5Cright)%7D"")","log Subscript 2 Baseline left-parenthesis x right-parenthesis equals 
StartFraction log Subscript 10 Baseline left-parenthesis x 
right-parenthesis Over log Subscript 10 Baseline left-parenthesis 2 
right-parenthesis EndFraction",,
61,"=image(""https://equatio-api.texthelp.com/svg/%5CPhi_5"")","upper Phi 5","mayúscula Phi subíndice 5",
